part,trial,k,subset,err_sh,err_el,err_wr
P07,trial_14_L_unaffected,2,34,51.04010104208705,46.96974779184835,27.033665775178708
P07,trial_14_L_unaffected,3,012,32.98219330320817,56.36398532783107,26.85479082466277
P07,trial_14_L_unaffected,3,013,33.41253844487803,45.22377147029806,24.544401294190912
P07,trial_14_L_unaffected,3,014,44.91308054705058,53.13047751711265,20.732219918622263
P07,trial_14_L_unaffected,3,023,32.37887311666421,48.06311290727672,25.605220350015294
P07,trial_14_L_unaffected,3,024,39.429404034269936,51.21334419433097,22.17832463237654
P07,trial_14_L_unaffected,3,034,38.01828820731365,40.864196535897655,24.895541213295527
P07,trial_14_L_unaffected,3,123,38.69753748758884,49.59623690355018,25.197041547012432
P07,trial_14_L_unaffected,3,124,47.05099344762517,53.47204264147284,22.208553265714706
P07,trial_14_L_unaffected,3,134,43.892490141177944,46.77683719113514,24.317629287080155
P07,trial_14_L_unaffected,3,234,50.97287560467902,50.304557546299144,24.256932089040497
P07,trial_14_L_unaffected,4,0123,33.469985146910375,48.993322451619,23.534873936598526
P07,trial_14_L_unaffected,4,0124,39.792474662354934,52.728336438735205,20.709229506020282
P07,trial_14_L_unaffected,4,0134,38.81318778537232,45.553308510968094,22.62228511092218
P07,trial_14_L_unaffected,4,0234,38.53279613960856,47.052367453216426,23.04469192106535
P07,trial_14_L_unaffected,4,1234,44.629966571015814,49.27865329514205,23.07500582628616
P07,trial_14_L_unaffected,5,01234,38.546868684498016,48.40974271106684,21.742356036012506
P07,trial_15_L_unaffected,2,01,32.927787875101714,63.905297036751676,31.436211686717446
P07,trial_15_L_unaffected,2,02,27.246669050456294,53.90375241614135,27.4642310517565
P07,trial_15_L_unaffected,2,03,29.84094659990783,41.3836375932013,26.187252539677356
P07,trial_15_L_unaffected,2,04,75.22118463022214,46.37672827260384,33.16939552203903
P07,trial_15_L_unaffected,2,12,37.14629833987678,53.309948942502146,22.81173714557074
P07,trial_15_L_unaffected,2,13,38.581895744176606,45.433438366520136,23.09152800558639
P07,trial_15_L_unaffected,2,14,50.37996434962919,53.08426710432748,22.68337181285852
P07,trial_15_L_unaffected,2,23,46.918468135561895,66.13017203493884,30.424383297995078
P07,trial_15_L_unaffected,2,24,52.083261281978075,53.94943497949238,22.211758875852016
P07,trial_15_L_unaffected,2,34,50.99036631255549,47.4262754107742,25.109437106884354
P07,trial_15_L_unaffected,3,012,31.775672996284495,57.39096030010624,26.34806772256958
P07,trial_15_L_unaffected,3,013,31.559177650445655,45.90145578832919,20.890531777438017
P07,trial_15_L_unaffected,3,014,43.173980967770056,52.20360174603683,18.928885268867433
P07,trial_15_L_unaffected,3,023,29.272283564145603,48.69589501719848,22.947727922792083
P07,trial_15_L_unaffected,3,024,37.79643840657861,50.571050039886906,20.181269115237257
P07,trial_15_L_unaffected,3,034,36.60521693224422,40.863493127971054,22.784853637562474
P07,trial_15_L_unaffected,3,123,38.264897713472365,48.89295803302209,20.775255300017587
P07,trial_15_L_unaffected,3,124,46.916614724112925,52.31329511831594,20.030817146762526
P07,trial_15_L_unaffected,3,134,43.6992087143374,46.52113510923421,21.79214693071631
P07,trial_15_L_unaffected,3,234,50.44511381824921,50.05950876054503,22.353195457468907
P07,trial_15_L_unaffected,4,0123,31.628805084749146,49.482335310484046,20.18967624429558
P07,trial_15_L_unaffected,4,0124,38.64713135960055,52.24663214485393,18.359981877426115
P07,trial_15_L_unaffected,4,0134,37.527882405706656,45.46339122166057,19.763378392225047
P07,trial_15_L_unaffected,4,0234,36.76426220081172,46.990536924214155,20.496083508615108
P07,trial_15_L_unaffected,4,1234,44.389226656867756,48.764064874933425,20.377884199352266
P07,trial_15_L_unaffected,5,01234,37.28978654795005,48.27434790745342,18.712385817928872
P07,trial_16_L_unaffected,2,01,31.432717220154963,63.85705948144329,33.558481877748626
P07,trial_16_L_unaffected,2,02,26.411527394527834,51.52434265262727,28.721087936277936
P07,trial_16_L_unaffected,2,03,29.836370872530356,39.544429290238625,29.368787320574455
P07,trial_16_L_unaffected,2,04,80.86674128438831,44.15484048398395,31.967292921242596
P07,trial_16_L_unaffected,2,12,36.724733120814946,51.13807981359768,24.68197352547766
P07,trial_16_L_unaffected,2,13,37.9196027396897,43.59429196494961,25.83385951078144
P07,trial_16_L_unaffected,2,14,50.97125172575492,51.05934943848022,24.05411120190626
P07,trial_16_L_unaffected,2,23,48.018649234511095,63.79173563482386,35.535774208195484
P07,trial_16_L_unaffected,2,24,52.834307454649114,51.642881461772845,23.192795891084398
P07,trial_16_L_unaffected,2,34,51.405025763979054,46.613668887449016,26.22144503677269
P07,trial_16_L_unaffected,3,012,30.408993488069218,55.59572123996633,27.588184849548046
P07,trial_16_L_unaffected,3,013,30.823383394737647,44.3204930106803,23.88468325800798
P07,trial_16_L_unaffected,3,014,43.84126851487069,50.55178659474452,20.616564561965713
P07,trial_16_L_unaffected,3,023,28.6058319293469,45.98158272144651,25.155422641741264
P07,trial_16_L_unaffected,3,024,37.64088561208114,47.93791849520696,21.07800181742311
P07,trial_16_L_unaffected,3,034,36.24442920328845,38.877873762189,24.309278882341754
P07,trial_16_L_unaffected,3,123,37.379075601563926,46.74575434105925,23.029643343102894
P07,trial_16_L_unaffected,3,124,46.695221747544835,49.97553524938239,21.4498831009934
