part,trial,cam,rot_deg,axis,induced_reproj,base_reproj,err_sh,err_el,err_wr,base_err_wr,base_err_el,base_err_sh
P14,trial_48_L_affected,0,1.0,2,12.215490619387346,11.65646862022333,39.660510693786,82.7456410177943,40.74728193194447,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,0,2.0,0,16.25163503849221,11.65646862022333,39.87091625094105,83.98778942295155,42.4084853119104,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,0,2.0,1,13.347085704038326,11.65646862022333,39.024689599850596,80.661813858926,38.0584298009782,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,0,2.0,2,12.096832667431045,11.65646862022333,40.596998619599454,85.52420521928117,43.57019189763587,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,0,4.0,0,23.53592839230297,11.65646862022333,41.3633356932257,84.69304826548313,43.20323547417745,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,0,4.0,1,16.123438001280917,11.65646862022333,39.37649051184496,81.74456913680864,38.60437168290599,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,0,4.0,2,23.541764435055992,11.65646862022333,39.30314286416016,85.28121115349695,42.8270086668828,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,0,8.0,0,39.81641269000028,11.65646862022333,38.52148202912009,72.10991743847944,30.27455672760207,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,0,8.0,1,36.678645664633756,11.65646862022333,44.501783442683404,95.70430655544915,55.58299775210698,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,0,8.0,2,25.51263291044607,11.65646862022333,38.8226402343911,74.64432535374253,34.2564044027597,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,1,0.5,0,10.377890353477069,11.65646862022333,40.17506992943355,83.91175231446326,42.257115499850876,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,1,0.5,1,10.170364773829402,11.65646862022333,40.173798474453385,83.93303069135169,42.14828819788945,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,1,0.5,2,10.529944985645672,11.65646862022333,40.16456249198632,83.97426401723158,42.16873492550695,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,1,1.0,0,14.976567030355307,11.65646862022333,40.59033873429023,84.04291165558757,42.36220441925462,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,1,1.0,1,11.991693664416445,11.65646862022333,39.9887707170215,83.89109463793541,42.22550035623918,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,1,1.0,2,10.655922638710658,11.65646862022333,40.34099389851212,83.75713748015343,42.22322226145083,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,1,2.0,0,10.521342500145199,11.65646862022333,40.82018537179561,83.50749612587003,42.08082749355419,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,1,2.0,1,12.040841711863383,11.65646862022333,40.84034100295145,83.55540687476862,42.34280488718859,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,1,2.0,2,15.942807784805881,11.65646862022333,39.74205762998318,84.57865390277249,42.88843585131449,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,1,4.0,0,38.790841366521235,11.65646862022333,41.749205912949215,84.72947423125943,44.17444020154325,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,1,4.0,1,15.664487280161653,11.65646862022333,41.14750190910495,83.05146389231903,41.52321620781772,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,1,4.0,2,25.70226616179789,11.65646862022333,38.47426390274084,84.40707357306803,41.64681732613207,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,1,8.0,0,42.30961530706276,11.65646862022333,39.65425353940443,84.29207908510837,40.67910862674212,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,1,8.0,1,66.34029989971134,11.65646862022333,39.88533749206049,85.21305252176538,44.738187753808305,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,1,8.0,2,52.56095065188499,11.65646862022333,44.2637393868956,84.58803265408665,42.327266739752,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,2,0.5,0,11.9802477101017,11.65646862022333,40.164054184488464,83.59850512502224,41.874440506621255,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,2,0.5,1,12.568792769000433,11.65646862022333,40.071385777824155,83.81809120698462,42.03635550706418,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,2,0.5,2,12.134546616934085,11.65646862022333,40.29720750040301,83.76294751259283,42.113088195714404,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,2,1.0,0,14.764317012797662,11.65646862022333,40.6105591058487,84.8492286636726,43.40592716469471,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,2,1.0,1,15.370142218338074,11.65646862022333,40.476375569766994,84.91136508350203,43.35066838976475,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,2,1.0,2,10.98972268463264,11.65646862022333,40.27599785993489,84.12192222784223,42.55993172375792,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,2,2.0,0,16.78640423089537,11.65646862022333,39.62254872623593,82.55477979557084,40.473276494886285,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,2,2.0,1,15.405825054721454,11.65646862022333,41.098813865005305,83.83055626866437,42.63968487795136,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,2,2.0,2,18.543016039173366,11.65646862022333,40.668787455013295,85.72646811375316,44.38151421971124,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,2,4.0,0,27.356458539153053,11.65646862022333,41.006629714047456,87.94256898719405,46.66389372865767,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,2,4.0,1,25.40989579957816,11.65646862022333,41.97498461397563,84.90217372640758,44.07659655980188,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,2,4.0,2,28.55294804930802,11.65646862022333,40.477643776396974,86.93577253088395,44.907697843588835,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,2,8.0,0,48.31255387026578,11.65646862022333,43.73389149232104,91.13574301443231,50.46747103458696,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,2,8.0,1,50.92883136984611,11.65646862022333,39.907140726598044,77.93550691621654,35.33135626923663,42.37721276176425,84.01336813085025,40.27647521640376
