part,trial,side,flexM,abdM,automq_flex,automq_abd,ijM,automq_ij,flexO,abdO,ijO
P08,68,L,27.17106560381856,35.72334686211121,43.78300206412087,41.674410676861655,0.45785722316142685,0.94272674421565,36.109265339917684,40.82841554295793,0.9586040976548283
P08,69,L,25.867000312241768,32.937397938602906,42.45320682167984,39.65531866665866,0.6382100809883401,0.9513935038268891,35.53888472774254,39.967435989330426,0.957508348616014
P08,6,R,,,43.45606891495772,35.0913145409696,,0.9547016803352659,35.32542400750211,32.40269461961529,0.9824735541085026
P08,72,L,23.51457841824387,28.16710442760213,42.125074642888016,35.044298979571906,0.6501872998183885,0.962590959576849,35.39365580460784,35.791895459859575,0.9862911086468923
P08,73,L,30.3673214756635,30.925422555713418,41.2737356507303,35.441226051271606,0.969567214056295,0.9489672098803755,34.08391735007546,35.992272972787724,0.9742263250003684
P08,74,L,35.339510172356725,35.05974326136725,41.93693259143721,37.75108341043521,0.9531096985446167,0.9223586646827466,35.282019534915236,38.71964978728363,0.941025533399484
P08,75,L,33.42783307709808,37.07653376647092,42.19302516151728,38.539987211502904,0.9597772931729026,0.9447125638695749,36.302921562362485,39.682042407447994,0.9807924437977287
P08,76,L,34.67421521479689,38.20773509532181,42.47220973317226,39.91913084952895,0.9558021743889281,0.9545023912718588,36.584293390218214,41.12532025602664,0.9737847171897892
P08,77,L,35.335464759806946,36.1545634140308,43.167536640991706,39.16983505638466,0.968731590734907,0.9554992160566176,37.05891051559673,40.38656661582014,0.9737402316786355
P08,78,L,38.01668097944454,37.51745568078527,43.85705205972875,39.89461081086912,0.9583101707733056,0.9408699087408017,37.915537695420404,40.65487353383224,0.9577665065568074
P08,79,L,29.307901388972056,35.53803442228507,45.82948730162909,40.611305080056155,0.29377775475022755,0.952216774677422,39.91336012467648,41.546525762857854,0.9668160327312386
P08,7,R,35.11472765650121,25.476366809147766,45.72914829387683,38.50123353643334,0.9529582258296162,0.9537568856825939,37.50029282526441,35.39697633475401,0.9752333350319761
P08,80,L,35.08544467516569,35.23408479284196,42.71588464024242,38.59039591920429,0.966288102626065,0.944182061383352,36.270140531048476,39.579445099076025,0.9700207086338253
P08,81,L,24.57695405734366,29.997651715987214,42.61594555423875,36.55800276819435,0.6797916344979527,0.9509138037137572,36.44963640890595,37.538737306636655,0.9685249567735926
P08,82,L,34.02507330408391,33.26585715645752,44.650054182896184,36.799278989484584,0.9708919737937735,0.9416406937616218,38.058304215912926,37.787723809566856,0.9668776270569938
P08,83,L,35.66858054865937,36.01911776204366,43.74820968895271,37.726686178207615,0.9761679598772212,0.9468996430468349,38.23572828433956,39.02261991963612,0.9753200131973134
P08,84,L,34.76703968560458,36.14642438359899,44.078113001898494,38.86516382539121,0.9739500623926367,0.9353462997820214,37.43869917464053,39.80689656517129,0.973336800234879
P08,85,L,28.61498308035613,34.51090609912022,45.064181112594035,39.797065334490554,0.9358439904375663,0.937789301380333,38.5336882477735,40.674761819681244,0.9564571451611814
P08,86,L,33.23229739452742,33.85804209415763,43.711388502195035,37.99457755556536,0.9601602003918202,0.9354888096887257,37.9290087383011,38.8810896090349,0.9702513159672144
P08,87,L,25.0325664913796,30.964563965749655,42.04612974358548,38.25937489890614,0.8073175782258947,0.8905425885180714,35.54068601906211,39.391920349511636,0.9490797336437262
P08,88,L,27.188003555347652,29.387278262961654,44.53808884210595,36.00973492860667,0.7455975597070948,0.9670672332047873,38.936830779891274,36.81574024808375,0.9747656687174886
P08,89,L,35.33802538584822,37.63174970040913,44.14330534857986,40.29544701741485,0.9698699693765166,0.939363332233941,38.71472557615722,40.546282176220686,0.9714971369788447
