part,trial,side,mmc_flex,mmc_hipC_shLive,mmc_hipC_actLive,omc_vert,omc_trunk,omc_trunkc,lean
P10,26,R,48.30000012651076,51.95390623819344,63.976737238286006,57.48644859026748,55.01125378590276,56.710527274894716,3.549481006287851
P10,27,R,52.67412393456407,52.70788475339228,65.69162387601517,57.440999732126905,54.59609503976874,57.284544981150056,3.457269583751626
P10,28,R,52.884233295805785,51.98164507688331,66.06663579503683,60.60148057588517,57.21977972506545,59.465605136077514,3.5955232632480203
P10,2,R,56.06040494419126,55.39935654288324,70.62769850645064,61.072784155068916,58.78004428863991,60.02035831467871,2.6273618344229734
P10,31,R,47.012296178451365,54.39654006088266,66.8519875248141,48.0911402178332,56.69806761112657,52.00543485438373,8.578185582215877
P10,32,R,49.188199555477304,55.189834863033056,66.81996180424791,49.380561970260395,55.81137173980619,52.574967181226164,6.927410055840807
P10,33,R,48.538574113035175,53.21396033992182,65.06573644036497,49.824561340903486,55.691807559402854,52.797038489470054,6.987492269818796
P10,34,R,46.98811415363118,54.282846880262824,65.83206576645699,51.121103015751444,54.21756219497383,53.07103965312505,5.4698652958957785
P10,35,R,47.223165738825436,51.87271189140939,63.244152744912114,50.7766062658951,54.89593965688305,53.02197290705371,5.393963162328578
P10,36,R,48.159817569847995,52.07227441938113,64.00582110066655,50.27808411821862,54.40501378140802,52.39458363224054,5.603619956933953
P10,37,R,46.78858583871384,52.33481850636797,64.36145008878513,49.43466151666642,53.65429061627926,51.45954340626878,5.757723559119533
P10,38,R,47.386158882228806,51.92777452441893,62.94420520555558,54.39257689732832,54.05307927132377,55.71018477595467,4.298885134310761
P10,39,R,51.82654410591994,51.93861072226115,63.99281843115067,54.89052857445095,53.797672882129824,55.777140498778266,3.4483342402125725
P10,3,R,50.83935652371905,52.29878421346325,64.38721395101616,55.15576093985574,55.19281041065892,55.65736118925383,2.8824076091601767
P10,44,L,52.03049798115194,53.54015959270078,64.62921837079561,48.808979300467485,54.700963276273384,54.30556303950168,7.630663613094218
P10,45,L,52.783715643062834,54.05878926170869,65.69632868422195,50.82514246858845,55.017263375008845,55.158463706546605,6.819289237563472
P10,46,L,54.46039512070052,54.453187306466276,65.51034012697035,51.64477388970272,55.117820761620614,55.57932722156622,5.940975056415565
P10,47,L,56.01947368730187,55.78826084851935,66.6622876060035,53.357037573977806,56.385302274476835,56.85872846050112,5.346860255117671
P10,48,L,55.73108610846146,56.614108026228195,67.49273818129458,53.02758139947777,56.816038856059066,57.005197657341775,5.9874187608548315
P10,49,L,56.207410358615,57.77845101823576,69.87592269226738,56.18523457289952,58.769424897952135,59.280524393035364,4.862486381951304
P10,4,R,57.90249138929237,56.96861725432742,71.1979083515465,60.963371683256895,58.88259799659863,60.7185854204646,2.4933326131155362
P10,50,L,56.8409026475882,57.497401340947086,68.50719516578513,55.42447333751338,57.48638998349796,58.09585394655931,4.6355956555607145
P10,51,L,57.98243975995672,58.15468393764785,69.07560140526768,56.14263544263135,58.185951496131395,58.856193338030636,4.107468062307533
P10,52,L,56.12578124072283,57.015466318635404,67.7165806872977,54.869970916151566,57.256896986479596,57.30255723673486,4.042256695026162
P10,53,L,57.33107307645807,57.97251950809407,69.06015226047957,56.76180713641825,58.758424388731754,58.86207421971486,3.8615744054005394
P10,54,L,57.303909266328944,57.762025740195156,68.37524405373019,56.640173312363565,57.86726020435465,58.56071567107164,3.1415224778008595
P10,55,L,55.27680467917904,56.722071212823444,68.02502318762149,56.03263596351416,57.026160219887736,57.071098461066406,4.098490531844993
P10,56,L,56.48021608898336,57.477779142511864,68.5066212424586,56.62744055163463,58.12874105061445,58.428583456441245,4.547859258157473
P10,57,L,57.62982266677882,58.18336457688421,68.05993279718064,57.247290458874936,57.938449216128014,58.40356623823806,3.0685223493135725
P10,58,L,59.06147813056343,60.50876578831903,70.44046221955146,58.11061111156448,59.70120558696523,60.06756941832813,3.6078485333666324
P10,59,L,56.777268809325975,57.388235817837185,67.85448739034244,56.021937843692015,57.01430063032609,57.71180539418985,3.1801599931564204
P10,5,R,66.970693630579,64.91108876345672,78.84571103163394,67.6173556643693,63.59705759213611,66.82445693570338,3.220622688729402
P10,60,L,50.578623776692055,57.0841498257567,68.15519905396853,52.71629345710276,56.62601383601459,56.487261628102075,6.254927908153904
P10,61,L,50.26567404905945,55.267828691226086,66.06147239909636,50.60036024299881,55.4139060244347,53.55675990343948,5.245944242831023
P10,62,L,51.08735723372444,55.44698040531367,65.77881173972607,51.24531589136531,55.44180567100509,54.29683716622534,5.461296670909136
P10,63,L,50.7186980876459,54.55214074414894,65.2968074162125,50.0505278743046,54.52309877083722,53.09949626778243,5.014358360787586
P10,64,L,49.76290386355709,54.354729665447984,64.9800876283972,52.21274554676481,54.69177575597031,54.91293773474009,4.80156707487339
P10,65,L,49.72236084868386,54.12804798255389,65.3796026809112,50.77140967901155,54.22545776527639,53.257842895601975,4.187822169269252
P10,66,L,52.42426231385565,53.62558036775053,64.90721665657367,51.90535467088137,55.6178254402769,54.60032727023641,4.722072656065643
P10,67,L,51.32022985261456,54.700472040891455,65.92820643020744,50.56710749586977,54.4906390798621,53.41972754763199,5.142656933133926
P10,68,L,50.580599253026996,54.14850337750758,65.05086063512255,51.91234452372916,54.3786507196711,53.956731832671146,4.157281888275803
P10,69,L,51.00650229280148,55.21272766901126,66.41791371829069,52.43373376371327,55.239867330574434,54.76769505023622,4.703959939740379
P10,6,R,49.6104160773951,55.232716455847246,66.94959221983072,52.47239839031159,57.49774709029358,53.19282423738951,5.730435629690825
P10,70,L,49.662349165842144,54.331248767190914,66.20621972258232,52.8693829641582,55.25097117827584,55.403197991818125,5.395947545366211
P10,71,L,51.05971653191329,54.496139075045576,65.46065471010714,52.58469098366717,55.549837494161736,55.62823952192882,5.084798546643092
P10,72,L,51.334023615874266,56.48002967678397,67.29065145112213,51.918771497203124,57.02341299545071,55.21074616106908,4.5382772888993435
P10,73,L,51.83034969105196,56.33435541905129,66.90227032508213,52.911467735931936,55.913408644814425,56.347710595389536,5.31918081463408
P10,74,L,54.1281727994078,55.47194944902916,66.48422729324288,54.29563960834006,56.02760753389143,56.5243131511872,4.020945179679211
P10,75,L,53.98445247235101,56.48192671129093,67.55315260959273,54.51563195379051,56.34434464258438,57.41541246293245,3.650999470742135
P10,77,L,52.74978728133183,56.50093761062722,67.57596371961533,53.80872177141649,55.192502029328686,55.799011801711536,3.4033268462447945
P10,78,L,50.75095608222628,55.80532107106035,65.94565198522663,53.63613664166162,55.64442505592671,55.98964350920332,3.6160453489754274
P10,79,L,50.255850351029615,54.849375636458205,65.65082374054921,53.59973572116165,55.497595680407066,55.61820227453184,4.4289567372171925
P10,7,R,50.030308040552946,54.70558542890872,66.13592249461001,53.09246453828089,56.32407559142363,54.39353669264736,5.59442016759189
P10,80,L,52.072998346583155,56.27634870520925,67.7551786483113,53.80126630585646,54.70261334063513,55.494343209330104,3.0129007937653185
P10,81,L,50.57288635767498,55.443914817783735,65.72943470273646,52.27262082646546,54.8481616567501,54.32652305532676,3.928577517703033
P10,82,L,51.04048852060248,55.728858185936616,66.78735967058968,54.15314770877094,56.234263651914965,56.783257517375894,5.098393967606753
P10,83,L,48.9329094401822,55.53336987944679,67.53773692166695,52.526634359986105,56.137584665621425,54.7291620522532,5.353723236151967
P10,8,R,51.47536006797353,53.40757289681986,65.19673996671283,53.94265102474099,55.47322873907788,55.28985661589602,5.505336663499078
P10,9,R,52.72410183002057,51.93804933321508,64.76400382046378,55.537917862453845,55.38020138522454,56.33331251537228,4.353285705474905
P12,10,L,55.90808666099189,55.791655037372585,66.62479415862958,61.021212268140786,58.72895033567753,60.167048217507606,3.362313328683724
P12,11,L,54.68276489587285,55.13543479810448,65.7494814633475,60.2365429835372,57.733939008116586,58.520323660539674,3.614255419891262
P12,12,L,52.37596524280256,51.920131867220164,64.66901306160673,57.882407227165,55.51035789604955,56.912192409289396,3.416752970807592
P12,13,L,53.68867555754994,53.275357366010034,65.145181334955,60.38701212813433,57.815572205162454,58.99074887075277,3.7664174272793574
P12,14,L,55.12378188336752,54.52048518605103,67.16975167023843,61.14553491471712,58.8083692210082,59.58557612023556,3.2727212865150754
P12,15,L,53.48051361755156,53.75567548097535,64.410244088217,59.65372547245627,57.85381750709061,58.511133374763254,2.6609877038171867
P12,16,L,53.2352784918858,53.45506976973302,64.0601899614915,58.4568306246535,57.319853159931306,58.02634361583725,2.600903783902024
P12,17,L,56.94528360072125,56.24409613452299,67.85026227254961,61.79753498695505,59.77934607632051,60.578233949632136,3.1637606424259417
P12,18,L,56.27424965302054,56.610771094905346,67.16589093657547,60.615197176232,58.96900145006416,60.192136817078655,3.457308423924894
P12,19,L,53.66156293702155,53.893389679880684,66.78202294738257,59.37247770523628,57.69053297379122,58.51194021821807,3.462324251972505
P12,1,L,48.44195696959159,49.31161729050368,61.427253623810024,54.08132898182825,53.89254823136896,54.102578896812304,1.5502841541679497
P12,20,L,56.86400115617505,56.57155174885278,67.53900662536743,62.317899335693795,60.7433010648433,61.25842576791654,2.859001115841736
P12,21,L,53.343082255626925,53.1650511272568,64.90537163969367,59.45941811900618,58.160420573844135,58.84052719696043,2.4687962708913718
P12,22,L,52.97014935231053,52.66437171733703,63.9876056652934,58.94451878155091,57.68122302447331,58.457899528566855,2.7274730125901008
P12,23,L,53.60936475146044,53.70139449803989,64.33562110022189,59.58121217145882,57.84556114372188,58.48369340847067,2.5621298246788458
P12,24,L,56.972774003690226,56.663724242011405,68.15757003307854,61.17635576929604,60.027269557729625,60.68972192813403,2.1428125748616633
P12,25,L,57.24119192468034,56.623395460317674,67.43003486915075,62.40097491524038,60.64186173464834,61.520803939078625,2.43551327144792
P12,26,L,58.08442295002549,57.20566998401916,69.70027768700109,63.67668924337216,61.36207748784763,62.8219284539378,3.3299159711654767
P12,27,L,61.302024271035606,60.65066610522396,71.69445998411824,66.99203448136122,64.88738029328182,66.22907116983038,3.2294178754234353
P12,28,L,60.44888212283693,60.31256113546566,71.76502095406211,66.42971679956212,64.55763718128748,65.69234858309628,2.4530683463072664
P12,29,L,62.32975941436718,62.11887529474134,72.79122204938761,67.59611417586663,65.29354153627636,65.88537467338998,3.172785084712724
