src,part,trial,drink_outside_hold,short_hold,short_drink,hold_touches_start,hold_touches_end,no_rest_pre,no_rest_post,cup_nan_frac,hand_nan_frac,no_track
mmc,P07,trial_57_R_affected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_57_R_affected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_57_R_affected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_57_R_affected,True,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_59_R_affected,False,False,False,False,False,False,False,0.0016638935108153079,0.0016638935108153079,
mmc,P07,trial_59_R_affected,False,False,False,False,False,False,False,0.0,0.0016638935108153079,
mmc_c3kf,P07,trial_59_R_affected,False,False,False,False,False,False,False,0.0,0.0016638935108153079,
mmc_c3kf_wr,P07,trial_59_R_affected,False,False,False,False,False,False,False,0.0,0.0016638935108153079,
mmc_c3kf_wr2,P07,trial_59_R_affected,False,False,False,False,False,False,False,0.0,0.0016638935108153079,
omc,P07,trial_60_R_affected,False,False,False,False,False,False,False,0.0014388489208633094,0.0014388489208633094,
mmc,P07,trial_60_R_affected,False,False,False,False,False,False,False,0.0,0.0014388489208633094,
mmc_c3kf,P07,trial_60_R_affected,False,False,False,False,False,False,False,0.0,0.0014388489208633094,
mmc_c3kf_wr,P07,trial_60_R_affected,False,False,False,False,False,False,False,0.0,0.0014388489208633094,
mmc_c3kf_wr2,P07,trial_60_R_affected,False,False,False,False,False,False,False,0.0,0.0014388489208633094,
omc,P07,trial_61_R_affected,True,False,True,False,False,False,False,0.0013908205841446453,0.0013908205841446453,
mmc,P07,trial_61_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_61_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_61_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_61_R_affected,False,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_62_R_affected,False,False,False,False,False,False,False,0.0013850415512465374,0.0013850415512465374,
mmc,P07,trial_62_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_62_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_62_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_62_R_affected,False,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_63_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc,P07,trial_63_R_affected,False,False,False,False,False,False,False,0.0,0.002962962962962963,
mmc_c3kf,P07,trial_63_R_affected,False,False,False,False,False,False,False,0.0,0.002962962962962963,
mmc_c3kf_wr,P07,trial_63_R_affected,False,False,False,False,False,False,False,0.0,0.002962962962962963,
mmc_c3kf_wr2,P07,trial_63_R_affected,False,False,False,False,False,False,False,0.0,0.002962962962962963,
omc,P07,trial_64_R_affected,True,False,False,False,False,False,False,0.0,0.0,
mmc,P07,trial_64_R_affected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_64_R_affected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_64_R_affected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_64_R_affected,True,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_65_R_affected,False,False,False,False,False,False,False,0.0015625,0.0015625,
mmc,P07,trial_65_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_65_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_65_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_65_R_affected,False,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_66_R_affected,False,False,False,False,False,False,False,0.001422475106685633,0.001422475106685633,
mmc,P07,trial_66_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_66_R_affected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_66_R_affected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_66_R_affected,True,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_67_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc,P07,trial_67_R_affected,False,False,False,False,False,False,False,0.0,0.0015432098765432098,
mmc_c3kf,P07,trial_67_R_affected,True,False,False,False,False,False,False,0.0,0.0015432098765432098,
mmc_c3kf_wr,P07,trial_67_R_affected,True,False,False,False,False,False,False,0.0,0.0015432098765432098,
mmc_c3kf_wr2,P07,trial_67_R_affected,True,False,False,False,False,False,False,0.0,0.0015432098765432098,
omc,P07,trial_68_R_affected,False,False,False,False,False,False,False,0.0014144271570014145,0.0014144271570014145,
mmc,P07,trial_68_R_affected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_68_R_affected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_68_R_affected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_68_R_affected,True,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_69_R_affected,True,False,True,False,False,False,False,0.0,0.0,
mmc,P07,trial_69_R_affected,True,False,False,False,False,False,False,0.0,0.0014992503748125937,
mmc_c3kf,P07,trial_69_R_affected,True,False,False,False,False,False,False,0.0,0.0014992503748125937,
mmc_c3kf_wr,P07,trial_69_R_affected,True,False,False,False,False,False,False,0.0,0.0014992503748125937,
mmc_c3kf_wr2,P07,trial_69_R_affected,True,False,False,False,False,False,False,0.0,0.0014992503748125937,
omc,P07,trial_72_R_affected,True,False,True,False,False,False,False,0.0,0.0,
mmc,P07,trial_72_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_72_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_72_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_72_R_affected,False,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_73_R_affected,False,False,False,False,False,False,False,0.0045871559633027525,0.0045871559633027525,
mmc,P07,trial_73_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_73_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_73_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_73_R_affected,False,False,False,False,False,False,False,0.0,0.0,
