part,k,subset,cov,err_wr,err_el,err_sh
P07,3,134,53.83683395385742,22.137887542491782,47.14979433209093,44.17198501241293
P07,3,234,29.4283390045166,22.242678724629588,51.48417929271716,49.56913697400487
P07,4,123,32.44694137573242,20.236254205454376,48.89807386676802,34.020316333679425
P07,4,124,54.5941047668457,18.795984315860853,51.26572229198021,39.89838580677826
P07,4,134,53.83683395385742,20.325580090807215,45.061725095889706,38.8490420385521
P07,4,234,29.4283390045166,20.08299311874922,47.36771988358002,37.91412280559522
P07,4,1234,42.57655715942383,20.810330359929377,49.67892920187374,44.87013991100101
P07,5,1234,42.57655715942383,19.37589706338528,48.20659616810231,38.5884263475413
P07,2,1,,28.21682046564495,60.17923313165536,32.70739688415908
P07,2,2,,26.098233711925182,51.32280698798242,27.949353974451128
P07,2,3,,26.47209810281344,40.636879385056496,32.25038571585964
P07,2,4,,32.072786309969594,47.85284657670735,77.10581689145192
P07,2,12,40.72708511352539,26.7171004277288,51.56748901500866,37.71093843251343
P07,2,13,45.72364807128906,24.857157572202805,44.943289955586245,40.39836921345339
P07,2,14,80.72357177734375,23.71514547280973,51.88091124511224,50.24397923417519
P07,2,23,10.890088081359863,30.20107078746444,62.19846764652488,47.12681118784971
P07,2,24,42.33165740966797,22.63725347794748,53.32124548293511,50.78180399007168
P07,2,34,35.06327438354492,25.87315462499243,48.12639952426257,51.10805491551766
P07,3,12,40.72708511352539,25.33386702771284,54.8601782473546,32.29820301214896
P07,3,13,45.72364807128906,22.352189627399166,44.6598529315716,33.64310292212165
P07,3,14,80.72357177734375,20.02710760693705,51.25736257799224,43.963060808608965
P07,3,23,10.890088081359863,23.12061988240524,47.161253314663135,31.539380873957672
P07,3,24,42.33165740966797,20.799496874182708,49.76239542576997,37.9454170751522
P07,3,34,35.06327438354492,23.212754817870263,41.18788128638516,37.749350411994
P07,3,123,32.44694137573242,22.750675531249183,47.88364788937484,39.55074888618724
P07,3,124,54.5941047668457,20.892507102931848,51.23330541726632,46.81238480541545
P07,3,134,53.83683395385742,22.60258078177075,46.21086324103772,44.29962532068304
P07,3,234,29.4283390045166,22.55367587881056,50.0893586371713,50.27442192587005
P07,4,123,32.44694137573242,21.285240982031365,47.855576020690194,33.335953708918616
P07,4,124,54.5941047668457,19.285724238629093,50.95500621747615,39.10084376124201
P07,4,134,53.83683395385742,20.99653564212344,44.94272729999852,38.58364576299929
P07,4,234,29.4283390045166,21.20500608888748,46.47424172259515,37.58129344894957
P07,4,1234,42.57655715942383,21.074497333418737,48.22136547407409,44.82835880414672
P07,5,1234,42.57655715942383,19.91957506725245,47.39002178973708,38.18715666970704
P07,2,1,,23.89026679367111,55.816281656482126,33.98190955267184
P07,2,2,,23.604244509382447,54.75037391959832,32.121461329910204
