part,cond,fstd,r_raw,pert_std,r_shrink
P10,unaffected,9.389252494275556,0.9585053876843976,0.0010014868817823485,0.8697165802920456
P10,unaffected,8.96256801800935,0.9523294915616622,0.0012743641679297457,0.8563797181489659
P10,unaffected,7.86788722114154,0.9693733844739808,0.0011137328982487387,0.8463280892970705
P10,unaffected,8.201096213095514,0.9510235194624389,0.0011383599566980554,0.838783308318941
P10,unaffected,7.118603985292302,0.969590701635746,0.0013950308125481585,0.8233588438850579
P10,unaffected,7.203895163532624,0.97732522237165,0.0011989206890498014,0.8328836866576698
P10,unaffected,7.979585313849972,0.9775528313319926,0.0010815276508425835,0.8564916278776422
P10,unaffected,7.882679818924594,0.9806873264626425,0.001192375365001236,0.8566136311314008
P10,unaffected,7.96666640290178,0.9823830692408718,0.0008923556008222618,0.8603778359215077
P10,unaffected,9.894413259856627,0.9716626202384121,0.0007622355445763902,0.8898570866548637
P10,unaffected,8.296684291270534,0.9752917318169662,0.0008765366556815685,0.8625194707044337
P10,unaffected,8.410743651302706,0.9812045834860494,0.0009615261745060472,0.8704599906390713
P10,unaffected,7.909108032826692,0.9833278675554401,0.0010176230558392068,0.8596457245544885
P10,unaffected,6.965855149568107,0.9721321044646889,0.0011976033799358412,0.8200335011940978
P10,unaffected,7.362174934942911,0.9866447080270757,0.0009829737378624617,0.8461451068431345
P10,unaffected,7.17972785818428,0.9794632323077379,0.001210930366966595,0.8338746506193574
P10,unaffected,7.541106073431587,0.9872495204302211,0.000869663150662228,0.8523553714634194
P10,unaffected,8.304628457425387,0.9865813878825812,0.0007629477747855212,0.872696678466042
P10,unaffected,7.824709903833305,0.9921321320429219,0.0006982307839664212,0.8649829512460312
P10,unaffected,8.001554280370822,0.9756500525219894,0.0010202652239277151,0.8554053966359767
P10,unaffected,7.340708100780422,0.9856221834351695,0.0009976818704676587,0.8445637555363948
P10,unaffected,7.764856379136179,0.9776576893955015,0.0009698817616728541,0.8506763219889094
P10,affected,7.185259772230312,0.9878676140471628,0.0008378072787288513,0.8412222573415798
P10,affected,7.559405943247591,0.9918580296204661,0.0009586966428936281,0.8569003791341583
P10,affected,6.563297017827382,0.9911718939006636,0.0010094421136099606,0.8198761260960465
P10,affected,7.703351977041526,0.9905369365934317,0.0008636316855943805,0.8600918153707237
P10,affected,7.7031235162968965,0.9916506501050442,0.0008490435037340999,0.8610521363057684
P10,affected,8.407455031347073,0.9893046779302193,0.0007354641351952853,0.8775683590641595
P10,affected,7.660510480904092,0.9937224480448789,0.000639392668831103,0.8615851842513415
P10,affected,7.409313807736933,0.9920622393915898,0.0009472708855840926,0.8523306393130428
P10,affected,7.285774266475971,0.9830885985145105,0.0014657922302417662,0.8405718435968158
P10,affected,8.000350131118049,0.9908306798273685,0.0007024468546226697,0.8686828466855352
P10,affected,7.644514891312911,0.9895287438257774,0.0009740071263457363,0.8574714702750876
P10,affected,7.590925725725672,0.970423408936903,0.0015332227657339056,0.8393287168834898
P10,affected,7.9859060354172895,0.9812572987693722,0.0011649468045188778,0.8599058363707522
P10,affected,7.79965881065771,0.9818504964836853,0.0011844795437627937,0.85531372740613
P10,affected,7.301885269035691,0.9793472904270349,0.0012333937002603262,0.8379083433358241
P10,affected,7.877040616978502,0.9892020329294686,0.0007835983139103383,0.8638945329682732
P10,affected,7.618620254834106,0.9877357238616644,0.0009558742621539047,0.8551406453849635
P10,affected,7.1166158551558825,0.9840771362041498,0.0013225948658200423,0.8355900393986928
P10,affected,7.286025609416103,0.9876168195270777,0.0010032565771555051,0.8444520616915403
P10,affected,7.003046540203659,0.9869534448283322,0.001161863914286517,0.8339180588854141
P10,affected,6.875404145416313,0.9864804063812627,0.0011223084399568895,0.8287029558961464
P10,affected,6.918130675451378,0.9817596730237599,0.0012877126740176263,0.8263647665780955
P10,affected,7.2827310158152265,0.9909871350400704,0.0009640689599345175,0.847222674151034
P10,affected,7.1312354021099384,0.9912106565118425,0.0010159809035532102,0.8421676744113854
P10,affected,7.299280823711476,0.9947297080360535,0.0006533396697402295,0.8509814876069974
P10,affected,7.082416439504772,0.9787954944761451,0.001363646816938843,0.8298930816924609
P10,affected,7.1433114293447755,0.9741738601728084,0.001454525940448704,0.8281132605436247
P10,affected,7.401958049670416,0.9871568534080304,0.0009512784475203398,0.8478787011763408
P10,affected,7.326175527072894,0.9345435481717991,0.0021611535272792995,0.8003404247839901
P10,affected,6.975456285208694,0.9912024944204239,0.0008565255838271799,0.8364801894591636
P10,affected,8.058243321804495,0.9729051451764544,0.001239101486349803,0.8544752743068178
P10,affected,7.839121200658055,0.9846503531327272,0.0009977728568571682,0.8588643474989962
P10,affected,7.601027152758147,0.9885839936753775,0.0008873095942271875,0.8553428980143836
P10,affected,7.730769877886639,0.992883063850477,0.0006539670697332761,0.8629336246436148
P10,affected,7.508070025262882,0.9843398402879252,0.001240149480795646,0.8488203758538934
P10,affected,7.822128522085127,0.9772707744880231,0.0012253032194506552,0.8519541124743237
P10,affected,7.381786862863344,0.9875181282595235,0.001329632214628627,0.8475345978340475
P10,affected,7.675407770561946,0.9842413127423559,0.0011362776167918134,0.8538050586588295
P10,affected,7.90412252751432,0.9745617303240068,0.0012495811921721667,0.8518469796258015
P12,unaffected,7.762293490839279,0.9884251824721787,0.0010510729386211737,0.8599715281762448
P12,unaffected,6.9136001458783,0.9811356805512488,0.0015512454830068855,0.825668202722843
P12,unaffected,6.848853610777618,0.9632315034784583,0.002066814495215428,0.8081683593638975
P12,unaffected,6.709729652701413,0.9259806980454038,0.003356793245958655,0.7717090678289033
P12,unaffected,7.758266451223189,0.9728346330313574,0.0012823551174602661,0.8462928881315683
P12,unaffected,6.458627086777211,0.9682172650493881,0.002279247409300358,0.7963913633216733
P12,unaffected,7.089555490687818,0.964250796636263,0.001863296314980042,0.8178114782066706
P12,unaffected,6.246249137789277,0.969199541596516,0.002020567403856988,0.7875337759952963
P12,unaffected,6.7139506205758614,0.9734223622474821,0.0020595011897417705,0.811416708754874
P12,unaffected,6.933071665512077,0.971510502783475,0.002084910014920795,0.8182954999755656
P12,unaffected,6.775700409409144,0.9699483310164236,0.0019528676855957486,0.8109697017763046
P12,unaffected,7.158732955946978,0.9791421978726327,0.001587170992854651,0.8328741204886456
