part,trial,side,mmc_abd,omc_world,omc_body
P10,39,R,29.676086335926087,42.03801465230812,29.559549236679263
P10,3,R,32.506008863754325,46.11569383680043,33.25955723091813
P10,44,L,28.798240066563565,39.119584904545746,36.64060189723683
P10,45,L,28.389310362123112,40.66539906558462,37.47192315822306
P10,46,L,29.970407008179784,39.96807630276603,37.87873795679023
P10,47,L,29.845593750900807,42.08275453460853,39.161665962991435
P10,48,L,30.274271727601796,42.12746087348167,39.22541781367169
P10,49,L,34.06021993881727,46.08481536366871,41.814008611395664
P10,4,R,36.601483690351195,51.192023873413234,33.76523420053629
P10,50,L,31.64469695758518,44.64049660184548,40.94849320341691
P10,51,L,30.75455034380164,45.31016167044966,41.15079763629176
P10,52,L,32.913346411199505,44.43123317413792,41.34923180266014
P10,53,L,30.856243956598753,45.51267875127369,41.06547028089899
P10,54,L,31.722566313243107,46.066120294557265,41.44224280356131
P10,55,L,34.19758626019006,45.169060761153105,40.85166937351257
P10,56,L,32.41032850336579,45.67338364103285,40.51595674422455
P10,57,L,32.89569032282136,45.50012923784995,39.607236479886595
P10,58,L,31.447462237032838,47.52969833795768,41.987202789183584
P10,59,L,30.521116255230726,45.63891203250435,40.55857573305345
P10,5,R,41.81574719146027,58.58562722316365,34.93878194684895
P10,60,L,33.2119355462701,44.368233005652975,43.00168629469666
P10,61,L,32.59000286548826,41.402795331150436,40.81832392201358
P10,62,L,31.128761916019464,41.94078595886114,40.98467084807878
P10,63,L,31.255829663765553,41.064256278943866,41.176772645126306
P10,64,L,31.369534405261124,43.81983414565921,43.804319581752125
P10,65,L,30.72570601225069,41.78208222325871,41.61564480877572
P10,66,L,30.41277485626698,43.41138154078952,43.06881476604015
P10,67,L,31.571239341140085,41.28514026557576,40.82664322978498
P10,68,L,30.34716101302576,43.17102476892654,42.28103694637714
P10,69,L,33.884753441796896,43.243191644545654,42.00198018846092
P10,6,R,30.958781545881216,43.311151684391945,30.892175680342394
P10,70,L,31.981751362110277,44.50872306694091,43.70357555452813
P10,71,L,31.329863198641267,43.86396820902999,43.313157925469625
P10,72,L,30.40697971760144,43.15555213409051,41.6843017173565
P10,73,L,30.111636453146033,43.02020619025941,40.175880917499455
P10,74,L,29.9967099819525,45.180282171703254,42.53880536942101
P10,75,L,31.688589832984025,45.93049245844723,44.69306109826957
P10,77,L,30.69114035638915,42.3845554860356,40.43954932638184
P10,78,L,29.437926862138386,42.89917416273698,41.280187994925534
P10,79,L,30.432590676895646,43.35613553067125,41.46419812309422
P10,7,R,31.979022074213447,44.13869629896982,32.45551914539138
P10,80,L,34.34553111700693,43.25282023238187,41.57329739522491
P10,81,L,29.85398726105507,42.8748332214189,41.66166430791124
P10,82,L,32.99462404682246,44.3540841478577,42.071606141860286
P10,83,L,31.621039759140622,42.6650331861126,41.10729530605613
P10,8,R,31.755773966762135,44.243089607358556,31.84841991386162
P10,9,R,30.55433306947915,44.80555155093492,31.624640872617103
P12,10,L,30.327356604301436,43.54709144590477,32.99449352887373
P12,11,L,29.916535513856086,43.51040819834858,33.834624689657964
P12,12,L,29.98524276462998,39.082890329160605,31.540248772945937
P12,13,L,29.199962784963102,39.38121397506364,30.70673432526541
P12,14,L,30.151365239133433,41.01400488934884,31.51980350329867
P12,15,L,28.28036218902485,38.6051287688958,31.05764447467835
P12,16,L,28.76268175546741,38.094979465810006,31.201874973212245
P12,17,L,29.1992164251732,41.41606226548211,31.74855288282066
P12,18,L,28.53846613363158,44.024390407183766,34.66676870588743
P12,19,L,31.414772189542433,40.79468422374769,32.802163678043456
P12,1,L,29.776486373782433,36.137512517259616,31.037183568422286
P12,20,L,29.904781092032053,39.8484506718497,32.361894439336815
P12,21,L,29.37879535018954,38.48543015426818,30.782303503974514
P12,22,L,30.857896610453516,38.499603163855646,31.921861279972948
P12,23,L,31.347491045907127,38.22219166015623,31.518402280359968
P12,24,L,29.510198619420983,44.44991953148301,34.4538759901932
P12,25,L,30.776680579915176,41.99891983763499,32.277944539500425
P12,26,L,29.595640927849438,45.90742106359921,34.19715275564081
P12,27,L,32.96105247515873,52.54880623828243,37.79927270675905
P12,28,L,33.15369823677297,50.92794336646148,36.672201860662724
P12,29,L,33.019584907584964,49.83540033580545,34.69310125593522
